FPR,TPR,Thresholds
0.0,0.10822316827246246,0.9996743
0.0,0.10867129733363208,0.9996737
0.0,0.1093434909253865,0.99967337
0.0,0.10979161998655612,0.9996723
0.0,0.11023974904772575,0.9996718
0.0,0.1113600717006498,0.99967015
0.0,0.11180820076181941,0.99967
0.0,0.11225632982298903,0.9996697
0.0,0.11315258794532826,0.9996692
0.0,0.11516916872059153,0.99966705
0.0,0.11584136231234596,0.9996669
0.0,0.11628949137351557,0.9996661
0.0,0.11673762043468519,0.999666
0.0,0.11875420120994847,0.9996637
0.0,0.11920233027111808,0.9996631
0.0,0.11942639480170289,0.999663
0.0,0.1198745238628725,0.99966264
0.0,0.12054671745462693,0.9996618
0.0,0.12121891104638136,0.9996617
0.0,0.12166704010755097,0.99966145
0.0,0.12592426618866234,0.9996555
