FPR,TPR,Thresholds
0.0,0.24535066099036523,0.99869007
0.0,0.24759130629621331,0.9986719
0.0,0.24803943535738293,0.9986708
0.0,0.2505041451938158,0.99864846
0.0,0.25095227425498545,0.998648
0.0,0.2531929195608335,0.9986357
0.0,0.2538651131525879,0.9986356
0.0,0.25431324221375756,0.9986312
0.0,0.2547613712749272,0.9986297
0.0,0.26237956531481066,0.9985802
0.0,0.2628276943759803,0.9985769
0.0,0.2682052431100157,0.99853384
0.0,0.2688774367017701,0.9985306
0.0,0.2695496302935245,0.9985268
0.0,0.26999775935469417,0.99852246
0.0,0.2729105982522967,0.99849904
0.0,0.2733587273134663,0.99849737
0.0,0.27851221151691685,0.99846447
0.0,0.2794084696392561,0.99846303
0.0,0.29105982522966617,0.9983772
0.0,0.2917320188214206,0.9983752
