Class,FPR,TPR,Threshold
0,0.00624512099921936,0.3540219583239973,0.9672175
0,0.00624512099921936,0.35491821644633653,0.9669959
0,0.00624512099921936,0.3553663455075062,0.96697146
0,0.00624512099921936,0.3560385390992606,0.9668552
0,0.00663544106167057,0.3560385390992606,0.96680653
0,0.00663544106167057,0.35917544252744793,0.9661537
0,0.00702576112412178,0.35917544252744793,0.96604794
0,0.00702576112412178,0.35984763611920234,0.96583086
0,0.00741608118657299,0.35984763611920234,0.9658261
0,0.00741608118657299,0.36253641048622004,0.9651567
0,0.0078064012490242,0.36253641048622004,0.9651236
0,0.0078064012490242,0.3643289267308985,0.96468985
0,0.0078064012490242,0.3650011203226529,0.9646672
0,0.0078064012490242,0.36544924938382256,0.96465254
0,0.0078064012490242,0.37418776607663007,0.9629109
